client_gender,vehicle_production_year,age,had_car_loan,had_other_loans,loan_type,loan_initial_term,loan_to_value_ratio,annual_percentage_rate,monthly_interest_rate,region_region 1,region_region 10,region_region 11,region_region 12,region_region 2,region_region 3,region_region 4,region_region 5,region_region 6,region_region 7,region_region 8,region_region 9,branch_branch 2,branch_branch 3,branch_branch 4,branch_branch 5,branch_branch 6,branch_branch 7,default_status,log_income,log_vehical_value,log_loan_amount
1,2015,28.0,0,0,0,36,0.2,36.7828208064973,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,6.866933284461882,10.085809109330082,8.476371196895983
1,2010,72.0,0,0,0,36,0.125,37.5854670214321,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,6.51025834052315,10.738134295369774,8.658692753689937
1,2004,36.0,0,0,0,36,0.576923076923077,37.7550240643989,3.374,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,7.783224016336037,10.125029822483365,9.574983485564092
0,2006,27.0,1,0,0,72,0.8,36.7710561438014,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,6.761572768804055,9.392661928770137,9.169518377455928
1,1998,39.0,0,0,0,72,0.476190476190476,35.4008760850984,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,7.272398392570047,9.21830854162536,8.476371196895983
0,1999,33.0,0,0,1,108,0.809090909090909,35.4479641094677,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0,8.571681376700306,8.35983738064003
1,2002,37.0,0,0,0,54,0.533333333333333,35.4228113321043,3.374,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,7.272398392570047,8.881836305004146,8.253227645581772
1,2001,49.0,0,0,0,54,0.611111111111111,37.52303052354,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.0,9.064157861798101,8.571681376700306
1,2003,42.0,0,0,0,54,0.571428571428571,37.7930201623705,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,7.272398392570047,8.812843433517195,8.253227645581772
1,2001,26.0,0,0,0,90,0.75,35.4240314451517,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.0,8.946374826141717,8.658692753689937
1,2006,25.0,0,0,0,90,0.5,36.0905579075691,3.374,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,9.351839934249883,8.658692753689937
0,2005,28.0,0,0,1,90,0.839506172839506,37.0931346686811,3.374,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7.272398392570047,9.87508807801443,9.700146628518098
1,1999,57.0,0,0,0,90,0.470588235294118,36.979240256198,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,6.579251212010101,9.006999447958153,8.253227645581772
1,2005,34.0,0,0,0,90,0.802919708029197,35.2142029680018,3.374,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,8.791181936736017,8.571681376700306
1,2001,23.0,0,1,1,72,0.761904761904762,36.6158356981512,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,6.269096283706261,9.21830854162536,8.946374826141717
1,1998,43.0,0,0,0,72,0.6,35.1590685119401,3.374,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,6.761572768804055,8.476371196895983,7.965545573129992
